,real,fitted
215,4494.128996,4375.221
216,4338.645538,4378.3735
217,4285.397536,4341.526
218,4381.243645,4362.2144
219,4464.311058,4370.476
220,4519.687861,4343.755
221,4261.968945,4327.565
222,4502.648618,4360.7124
223,4306.695853,4280.106
224,4195.940775,4331.13
225,4304.56558,4372.2363
226,4408.932782,4399.435
227,4504.778891,4430.4307
228,4338.645538,4401.369
229,4451.530889,4442.4214
230,4600.625,4416.864
231,4364.20293,4378.0283
232,4464.311058,4384.137
233,4387.632993,4341.2705
234,4355.683308,4305.7915
235,4462.180784,4324.369
236,4089.444772,4261.293
237,4374.852825,4355.3384
238,4249.187305,4349.011
239,4445.141541,4391.7295
240,4432.361373,4384.056
241,4325.86537,4406.799
242,4455.789964,4429.172
243,4368.463477,4382.0073
244,4391.892067,4335.263
245,4385.504192,4386.1157
246,4430.2311,4425.853
247,4364.20293,4390.1826
248,4389.763266,4388.988
249,4334.384991,4395.8145
250,4477.089754,4450.0283
251,4313.086674,4356.3247
252,4558.026893,4428.243
253,4289.656611,4344.8096
254,4402.541962,4404.927
255,4195.940775,4379.9478
256,4494.128996,4435.2275
257,4423.841752,4346.6543
258,4347.165159,4361.1045
259,4481.3503,4363.555
260,4264.097746,4311.5063
261,4445.141541,4398.034
262,4353.554507,4325.0386
263,4374.852825,4379.1704
264,4560.157166,4394.3745
265,4376.98457,4369.6343
266,4434.491647,4332.2456
267,4396.152614,4367.6226
268,4387.632993,4371.8247
269,4432.361373,4430.828
270,4317.345748,4352.751
271,4423.841752,4384.685
272,4398.282888,4364.537
273,4472.830679,4399.8867
274,4187.421154,4410.9995
275,4485.609375,4482.5415
276,4568.676788,4415.9507
277,4487.739648,4399.5137
278,4570.805589,4411.6655
279,4251.31905,4333.997
280,4402.541962,4418.9404
281,4464.311058,4381.91
282,4304.56558,4423.204
283,4587.846304,4463.99
284,4310.9564,4400.628
285,4389.763266,4347.976
286,4402.541962,4331.801
287,4300.306505,4350.409
288,4413.191857,4429.7783
289,4428.102299,4383.5493
290,4506.907692,4392.206
291,4353.554507,4368.145
292,4338.645538,4402.4595
293,4455.789964,4397.309
294,4449.400616,4397.0127
295,4400.413161,4403.68
296,4370.59375,4376.3857
297,4540.98765,4450.269
298,4417.452404,4431.027
299,4464.311058,4423.3394
300,4336.515264,4391.3716
301,4472.830679,4459.501
302,4494.128996,4389.908
303,4558.026893,4440.8555
304,4230.019261,4376.877
305,4523.948407,4490.4414
306,4400.413161,4403.9644
307,4438.750721,4494.694
308,4323.735096,4440.855
309,4368.463477,4411.728
310,4498.388071,4429.351
311,4304.56558,4346.9644
312,4313.086674,4377.057
313,4483.479102,4393.234
314,4391.892067,4385.269
315,4268.356821,4379.328
316,4417.452404,4436.744
317,4417.452404,4482.3506
318,4645.35338,4506.3496
319,4389.763266,4416.09
320,4451.530889,4401.511
321,4296.045959,4343.6836
322,4428.102299,4416.349
323,4389.763266,4375.2383
324,4509.037966,4447.1675
325,4338.645538,4411.2554
326,4334.384991,4419.863
327,4434.491647,4423.67
328,4432.361373,4428.265
329,4423.841752,4445.407
330,4421.711478,4426.412
331,4374.852825,4455.574
332,4474.95948,4455.6167
333,4379.113371,4461.182
334,4327.995643,4391.7544
335,4451.530889,4418.8066
336,4376.98457,4333.751
337,4455.789964,4368.4326
338,4289.656611,4324.9497
